20161021.A-Mad_A1	ST15ORE_Mad_A1
20161021.A-Mad_A2	ST15ORE_Mad_A2
20161021.A-Mad_A3	ST15ORE_Mad_A3
20161021.A-Mad_A4	ST15ORE_Mad_A4
20161021.A-Mad_A5	ST15ORE_Mad_A5
20161021.A-Mad_A6	ST15ORE_Mad_A6
20161021.A-Mad_A7	ST15ORE_Mad_A7
20161021.A-Mad_B1	ST15ORE_Mad_B1
20161021.A-Mad_B3	ST15ORE_Mad_B3
20161021.A-Mad_B4	ST15ORE_Mad_B4
20161021.A-Mad_B5	ST15ORE_Mad_B5
20161021.A-Mad_C1	ST15ORE_Mad_C1
20161021.A-Mad_C2	ST15ORE_Mad_C2
20161021.A-Mad_C3	ST15ORE_Mad_C3
20161021.A-Mad_C4	ST15ORE_Mad_C4
20161021.A-Mad_C5	ST15ORE_Mad_C5
20161021.A-Mad_C6	ST15ORE_Mad_C6
20161021.A-Mad_C7	ST15ORE_Mad_C7
20161021.A-Mad_D1	ST15ORE_Mad_D1
20161021.A-Mad_D2	ST15ORE_Mad_D2
20161021.A-Mad_D3	ST15ORE_Mad_D3
20161021.A-Mad_D4	ST15ORE_Mad_D4
20161021.A-Mad_D5	ST15ORE_Mad_D5
20161021.A-Mad_D6	ST15ORE_Mad_D6
20161021.A-Mad_E1	ST15ORE_Mad_E1
20161021.A-Mad_E2	ST15ORE_Mad_E2
20161021.A-Mad_E3	ST15ORE_Mad_E3
20161021.A-Mad_E4	ST15ORE_Mad_E4
20161021.A-Mad_E5	ST15ORE_Mad_E5
20161021.A-Mad_E6	ST15ORE_Mad_E6
20161021.A-Mad_E7	ST15ORE_Mad_E7
20161021.A-Mad_F1	ST15ORE_Mad_F1
20161021.A-Mad_F2	ST15ORE_Mad_F2
20161021.A-Mad_F3	ST15ORE_Mad_F3
20161021.A-Mad_F4	ST15ORE_Mad_F4
20161021.A-Mad_F5	ST15ORE_Mad_F5
20161021.A-Mad_F6	ST15ORE_Mad_F6
20161021.A-Mad_G1	ST15ORE_Mad_G1
20161021.A-Mad_G2	ST15ORE_Mad_G2
20161021.A-Mad_G3	ST15ORE_Mad_G3
20161021.A-Mad_G4	ST15ORE_Mad_G4
20161021.A-Mad_G5	ST15ORE_Mad_G5
20161021.A-Mad_H1	ST15ORE_Mad_H1
20161021.A-Mad_H2	ST15ORE_Mad_H2
20161021.A-Mad_H3	ST15ORE_Mad_H3
20161021.A-Mad_H4	ST15ORE_Mad_H4
20161021.A-Mad_H7	ST15ORE_Mad_H7
20161021.A-Ste_A1	ST15ORE_Ste_A1
20161021.A-Ste_A10	ST15ORE_Ste_A10
20161021.A-Ste_A11	ST15ORE_Ste_A11
20161021.A-Ste_A12	ST15ORE_Ste_A12
20161021.A-Ste_A13	ST15ORE_Ste_A13
20161021.A-Ste_A14	ST15ORE_Ste_A14
20161021.A-Ste_A15	ST15ORE_Ste_A15
20161021.A-Ste_A16	ST15ORE_Ste_A16
20161021.A-Ste_A17	ST15ORE_Ste_A17
20161021.A-Ste_A18	ST15ORE_Ste_A18
20161021.A-Ste_A19	ST15ORE_Ste_A19
20161021.A-Ste_A2	ST15ORE_Ste_A2
20161021.A-Ste_A20	ST15ORE_Ste_A20
20161021.A-Ste_A21	ST15ORE_Ste_A21
20161021.A-Ste_A22	ST15ORE_Ste_A22
20161021.A-Ste_A23	ST15ORE_Ste_A23
20161021.A-Ste_A24	ST15ORE_Ste_A24
20161021.A-Ste_A25	ST15ORE_Ste_A25
20161021.A-Ste_A26	ST15ORE_Ste_A26
20161021.A-Ste_A27	ST15ORE_Ste_A27
20161021.A-Ste_A3	ST15ORE_Ste_A3
20161021.A-Ste_A4	ST15ORE_Ste_A4
20161021.A-Ste_A5	ST15ORE_Ste_A5
20161021.A-Ste_A6	ST15ORE_Ste_A6
20161021.A-Ste_A7	ST15ORE_Ste_A7
20161021.A-Ste_A8	ST15ORE_Ste_A8
20161021.A-Ste_A9	ST15ORE_Ste_A9
20161021.A-Ste_B1	ST15ORE_Ste_B1
20161021.A-Ste_B10	ST15ORE_Ste_B10
20161021.A-Ste_B11	ST15ORE_Ste_B11
20161021.A-Ste_B12	ST15ORE_Ste_B12
20161021.A-Ste_B14	ST15ORE_Ste_B14
20161021.A-Ste_B15	ST15ORE_Ste_B15
20161021.A-Ste_B16	ST15ORE_Ste_B16
20161021.A-Ste_B17	ST15ORE_Ste_B17
20161021.A-Ste_B18	ST15ORE_Ste_B18
20161021.A-Ste_B19	ST15ORE_Ste_B19
20161021.A-Ste_B2	ST15ORE_Ste_B2
20161021.A-Ste_B20	ST15ORE_Ste_B20
20161021.A-Ste_B21	ST15ORE_Ste_B21
20161021.A-Ste_B22	ST15ORE_Ste_B22
20161021.A-Ste_B23	ST15ORE_Ste_B23
20161021.A-Ste_B24	ST15ORE_Ste_B24
20161021.A-Ste_B3	ST15ORE_Ste_B3
20161021.A-Ste_B4	ST15ORE_Ste_B4
20161021.A-Ste_B5	ST15ORE_Ste_B5
20161021.A-Ste_B6	ST15ORE_Ste_B6
20161021.A-Ste_B7	ST15ORE_Ste_B7
20161021.A-Ste_B8	ST15ORE_Ste_B8
20161021.A-Ste_B9	ST15ORE_Ste_B9
