SRR2467138	ST_SRR2467138
SRR4235061	STnnJGI_SRR4235061
SRR4235062	STnnJGI_SRR4235062
SRR4235063	STnnJGI_SRR4235063
SRR4235064	STnnJGI_SRR4235064
SRR4235065	STnnJGI_SRR4235065
SRR4235066	STnnJGI_SRR4235066
SRR4235067	STnnJGI_SRR4235067
SRR4235068	STnnJGI_SRR4235068
SRR4235069	STnnJGI_SRR4235069
SRR4235070	STnnJGI_SRR4235070
SRR4235071	STnnJGI_SRR4235071
SRR4235072	STnnJGI_SRR4235072
SRR4235073	STnnJGI_SRR4235073
SRR4235074	STnnJGI_SRR4235074
SRR4235075	STnnJGI_SRR4235075
SRR4235076	STnnJGI_SRR4235076
SRR4235077	STnnJGI_SRR4235077
SRR4235078	STnnJGI_SRR4235078
SRR4235079	STnnJGI_SRR4235079
SRR4235080	STnnJGI_SRR4235080
SRR4235081	STnnJGI_SRR4235081
SRR4235082	STnnJGI_SRR4235082
SRR4235083	STnnJGI_SRR4235083
SRR4235084	STnnJGI_SRR4235084
SRR4235085	STnnJGI_SRR4235085
SRR4235086	STnnJGI_SRR4235086
SRR4235087	STnnJGI_SRR4235087
SRR4235088	STnnJGI_SRR4235088
SRR4235089	STnnJGI_SRR4235089
SRR4235090	STnnJGI_SRR4235090
SRR4235091	STnnJGI_SRR4235091
SRR4235092	STnnJGI_SRR4235092
SRR4235093	STnnJGI_SRR4235093
SRR4235094	STnnJGI_SRR4235094
SRR4235095	STnnJGI_SRR4235095
SRR4235096	STnnJGI_SRR4235096
SRR4235097	STnnJGI_SRR4235097
SRR4235098	STnnJGI_SRR4235098
SRR4235099	STnnJGI_SRR4235099
SRR4235100	STnnJGI_SRR4235100
SRR4235101	STnnJGI_SRR4235101
SRR4235102	STnnJGI_SRR4235102
SRR4235103	STnnJGI_SRR4235103
SRR4235104	STnnJGI_SRR4235104
SRR4235106	STnnJGI_SRR4235106
SRR4235107	STnnJGI_SRR4235107
SRR4235108	STnnJGI_SRR4235108
SRR4235109	STnnJGI_SRR4235109
SRR4235110	STnnJGI_SRR4235110
SRR4235111	STnnJGI_SRR4235111
SRR4235113	STnnJGI_SRR4235113
SRR5194475	STnnJGI_SRR5194475
SRR5194476	STnnJGI_SRR5194476
SRR5194477	STnnJGI_SRR5194477
SRR5194478	STnnJGI_SRR5194478
SRR5194479	STnnJGI_SRR5194479
SRR5194481	STnnJGI_SRR5194481
SRR5194482	STnnJGI_SRR5194482
SRR5194483	STnnJGI_SRR5194483
SRR5194515	STnnJGI_SRR5194515
SRR5194526	STnnJGI_SRR5194526
SRR5194527	STnnJGI_SRR5194527
SRR5194528	STnnJGI_SRR5194528
SRR5194529	STnnJGI_SRR5194529
SRR5194530	STnnJGI_SRR5194530
SRR5194531	STnnJGI_SRR5194531
SRR5194532	STnnJGI_SRR5194532
SRR5194533	STnnJGI_SRR5194533
SRR5194534	STnnJGI_SRR5194534
SRR5194535	STnnJGI_SRR5194535
SRR5194587	STnnJGI_SRR5194587
SRR5194588	STnnJGI_SRR5194588
SRR5194589	STnnJGI_SRR5194589
SRR5194590	STnnJGI_SRR5194590
SRR5194591	STnnJGI_SRR5194591
SRR5194592	STnnJGI_SRR5194592
SRR5194593	STnnJGI_SRR5194593
SRR5194594	STnnJGI_SRR5194594
SRR5194595	STnnJGI_SRR5194595
SRR5194596	STnnJGI_SRR5194596
SRR5194605	STnnJGI_SRR5194605
SRR5194606	STnnJGI_SRR5194606
SRR5194607	STnnJGI_SRR5194607
SRR5829643	STnnJGI_SRR5829643
SRR5829671	STnnJGI_SRR5829671
SRR5829672	STnnJGI_SRR5829672
SRR5829673	STnnJGI_SRR5829673
SRR5829674	STnnJGI_SRR5829674
SRR5829691	STnnJGI_SRR5829691
SRR5829692	STnnJGI_SRR5829692
SRR6447858	STnnJGI_SRR6447858
SRR6830963	STnnJGI_SRR6830963
SRR6830964	STnnJGI_SRR6830964
SRR6830965	STnnJGI_SRR6830965
SRR6830966	STnnJGI_SRR6830966
SRR6830967	STnnJGI_SRR6830967
SRR6830968	STnnJGI_SRR6830968
SRR6830969	STnnJGI_SRR6830969
SRR6830970	STnnJGI_SRR6830970
SRR6830971	STnnJGI_SRR6830971
SRR6831004	STnnJGI_SRR6831004
SRR6831008	STnnJGI_SRR6831008
SRR6831009	STnnJGI_SRR6831009
SRR6831010	STnnJGI_SRR6831010
SRR6831056	STnnJGI_SRR6831056
SRR7073263	STnnJGI_SRR7073263
SRR7073288	STnnJGI_SRR7073288
SRR7073289	STnnJGI_SRR7073289
SRR7073427	STnnJGI_SRR7073427
SRR7073430	STnnJGI_SRR7073430
SRR7073431	STnnJGI_SRR7073431
SRR7073594	STnnJGI_SRR7073594
SRR7073614	STnnJGI_SRR7073614
SRR7074464	STnnJGI_SRR7074464
SRR7074626	STnnJGI_SRR7074626
SRR7074627	STnnJGI_SRR7074627
