St_15601_1	ST15NZ_St_15601_1
St_15601_10	ST15NZ_St_15601_10
St_15601_11	ST15NZ_St_15601_11
St_15601_12	ST15NZ_St_15601_12
St_15601_13	ST15NZ_St_15601_13
St_15601_14	ST15NZ_St_15601_14
St_15601_15	ST15NZ_St_15601_15
St_15601_16	ST15NZ_St_15601_16
St_15601_17	ST15NZ_St_15601_17
St_15601_18	ST15NZ_St_15601_18
St_15601_19	ST15NZ_St_15601_19
St_15601_2	ST15NZ_St_15601_2
St_15601_20	ST15NZ_St_15601_20
St_15601_3	ST15NZ_St_15601_3
St_15601_4	ST15NZ_St_15601_4
St_15601_5	ST15NZ_St_15601_5
St_15601_6	ST15NZ_St_15601_6
St_15601_7	ST15NZ_St_15601_7
St_15601_8	ST15NZ_St_15601_8
St_15601_9	ST15NZ_St_15601_9
St_15640_1	ST15NZ_St_15640_1
St_15640_10	ST15NZ_St_15640_10
St_15640_11	ST15NZ_St_15640_11
St_15640_12	ST15NZ_St_15640_12
St_15640_2	ST15NZ_St_15640_2
St_15640_3	ST15NZ_St_15640_3
St_15640_4	ST15NZ_St_15640_4
St_15640_5	ST15NZ_St_15640_5
St_15640_6	ST15NZ_St_15640_6
St_15640_7	ST15NZ_St_15640_7
St_15640_8	ST15NZ_St_15640_8
St_15640_9	ST15NZ_St_15640_9
St_15642_1	ST15NZ_St_15642_1
St_15642_10	ST15NZ_St_15642_10
St_15642_11	ST15NZ_St_15642_11
St_15642_12	ST15NZ_St_15642_12
St_15642_13	ST15NZ_St_15642_13
St_15642_14	ST15NZ_St_15642_14
St_15642_15	ST15NZ_St_15642_15
St_15642_16	ST15NZ_St_15642_16
St_15642_17	ST15NZ_St_15642_17
St_15642_18	ST15NZ_St_15642_18
St_15642_19	ST15NZ_St_15642_19
St_15642_2	ST15NZ_St_15642_2
St_15642_20	ST15NZ_St_15642_20
St_15642_21	ST15NZ_St_15642_21
St_15642_22	ST15NZ_St_15642_22
St_15642_23	ST15NZ_St_15642_23
St_15642_3	ST15NZ_St_15642_3
St_15642_4	ST15NZ_St_15642_4
St_15642_8	ST15NZ_St_15642_8
St_15642_9	ST15NZ_St_15642_9
St13_4_1	ST13NZ_St13_4_1
St13_4_2	ST13NZ_St13_4_2
St13_4_3	ST13NZ_St13_4_3
St13_5_1	ST13NZ_St13_5_1
St13_5_2	ST13NZ_St13_5_2
St13_5_3	ST13NZ_St13_5_3
St13_5_4	ST13NZ_St13_5_4
St13_6_1	ST13NZ_St13_6_1
St13_6_2	ST13NZ_St13_6_2
St13_6_3	ST13NZ_St13_6_3
St13_6_4	ST13NZ_St13_6_4
St13_7_1	ST13NZ_St13_7_1
St13_7_2	ST13NZ_St13_7_2
St13_7_3	ST13NZ_St13_7_3
St13_7_4	ST13NZ_St13_7_4
St13_8_1	ST13NZ_St13_8_1
St13_8_2	ST13NZ_St13_8_2
St13_8_3	ST13NZ_St13_8_3
St13_8_4	ST13NZ_St13_8_4
St13_9_1	ST13NZ_St13_9_1
St13_9_2	ST13NZ_St13_9_2
St13_9_3	ST13NZ_St13_9_3
St13_9_4	ST13NZ_St13_9_4
WAI1820	ST14TAS_WAI1820
WAI1822	ST14TAS_WAI1822
WAI1848	ST14TAS_WAI1848
WAI1849	ST14TAS_WAI1849
WAI1850	ST14TAS_WAI1850
WAI1851	ST14TAS_WAI1851
WAI1852	ST14TAS_WAI1852
WAI1857	ST14TAS_WAI1857
WAI1858	ST14TAS_WAI1858
WAI1859	ST14TAS_WAI1859
WAI1875	ST14TAS_WAI1875
WAI1876	ST14TAS_WAI1876
WAI1877	ST14TAS_WAI1877
WAI1878	ST14TAS_WAI1878
WAI1879	ST14TAS_WAI1879
WAI1880	ST14TAS_WAI1880
WAI1881	ST14TAS_WAI1881
WAI1882	ST14TAS_WAI1882
WAI1883	ST14TAS_WAI1883
WAI1892	ST14TAS_WAI1892
WAI1895	ST14TAS_WAI1895
WAI1901	ST14TAS_WAI1901
WAI1903	ST14TAS_WAI1903
WAI1904	ST14TAS_WAI1904
WAI1919	ST14TAS_WAI1919
WAI1922	ST14TAS_WAI1922
WAI1939	ST14TAS_WAI1939
WAI1941	ST14TAS_WAI1941
WAI1955	ST14TAS_WAI1955
WAI1957	ST14TAS_WAI1957
WAI1965	ST14TAS_WAI1965
WAI1966	ST14TAS_WAI1966
WAI1967	ST14TAS_WAI1967
WAI1968	ST14TAS_WAI1968
WAI1969	ST14TAS_WAI1969
WAI1970	ST14TAS_WAI1970
WAI1970D	ST14TAS_WAI1970D
WAI1971	ST14TAS_WAI1971
WAI1972	ST14TAS_WAI1972
WAI1993	ST14TAS_WAI1993
WAI1998	ST14TAS_WAI1998
WAI2000	ST14TAS_WAI2000
WAI2029	ST14TAS_WAI2029
WAI2031	ST14TAS_WAI2031
WAI2045	ST14TAS_WAI2045
WAI2047	ST14TAS_WAI2047
WAI2059	ST14TAS_WAI2059
WAI2060	ST14TAS_WAI2060
WAI2061	ST14TAS_WAI2061
WAI2073	ST14TAS_WAI2073
WAI2077	ST14TAS_WAI2077
WAI2203	ST14TAS_WAI2203
WAI2204	ST14TAS_WAI2204
WAI2206	ST14TAS_WAI2206
WAI2208	ST14TAS_WAI2208
WAI2210	ST14TAS_WAI2210
WAI2216	ST14TAS_WAI2216
WAI2226	ST14TAS_WAI2226
WAI2228	ST14TAS_WAI2228
WAI2230	ST14TAS_WAI2230
WAI2232	ST14TAS_WAI2232
