B4A6	ST81NE_Kema_B4A6
B7C8	ST81NE_Kema_B7C8
G01	ST09FR_Biog_G01
G02	ST09FR_Biog_G02
G03	ST09FR_Biog_G03
G04	ST09FR_Biog_G04
G05	ST09FR_Biog_G05
G06	ST09FR_Biog_G06
G07	ST09FR_Biog_G07
G08	ST09FR_Biog_G08
G093_GATCAG	ST10FR_Biog_G093
G098_AGTTCC	ST10FR_Biog_G098
G09	ST09FR_Biog_G09
G100_CCGTCC	ST10FR_Biog_G100
G101	ST10FR_Biog_G101
G102	ST10FR_Biog_G102
G103	ST10FR_Biog_G103
G10	ST09FR_Biog_G10
G11	ST09FR_Biog_G11
G12	ST09FR_Biog_G12
G13	ST09FR_Biog_G13
G14	ST09FR_Biog_G14
G15	ST09FR_Biog_G15
G16	ST09FR_Biog_G16
G17	ST09FR_Biog_G17
G18	ST09FR_Biog_G18
G19	ST09FR_Biog_G19
G20	ST09FR_Biog_G20
G21	ST09FR_Biog_G21
G22	ST09FR_Biog_G22
G23	ST09FR_Biog_G23
G24	ST09FR_Biog_G24
G25	ST09FR_Biog_G25
G26	ST09FR_Biog_G26
G27	ST09FR_Biog_G27
G28	ST09FR_Biog_G28
G29	ST09FR_Biog_G29
G30	ST09FR_Biog_G30
G31	ST09FR_Biog_G31
G32	ST09FR_Biog_G32
G33	ST09FR_Biog_G33
G34	ST09FR_Biog_G34
G35	ST09FR_Biog_G35
G36	ST09FR_Biog_G36
G37	ST09FR_Biog_G37
G38	ST09FR_Biog_G38
G39	ST09FR_Biog_G39
G40	ST09FR_Biog_G40
G41	ST09FR_Biog_G41
G42	ST09FR_Biog_G42
G43	ST09FR_Biog_G43
G44	ST09FR_Biog_G44
G45	ST09FR_Biog_G45
G46	ST09FR_Biog_G46
G47	ST09FR_Biog_G47
G48	ST09FR_Biog_G48
G49	ST09FR_Biog_G49
G50	ST09FR_Biog_G50
G51	ST09FR_Biog_G51
G52	ST09FR_Biog_G52
G53	ST09FR_Biog_G53
G54	ST09FR_Biog_G54
G55	ST09FR_Biog_G55
G56	ST09FR_Biog_G56
G57	ST09FR_Biog_G57
G58	ST09FR_Biog_G58
G59	ST09FR_Biog_G59
G60	ST09FR_Biog_G60
G61	ST10FR_Biog_G61
G62	ST10FR_Biog_G62
G63	ST10FR_Biog_G63
G64	ST10FR_Biog_G64
G65	ST10FR_Biog_G65
G66	ST10FR_Biog_G66
G67	ST10FR_Biog_G67
G68	ST10FR_Biog_G68
G69	ST10FR_Biog_G69
G70	ST10FR_Biog_G70
G73	ST10FR_Biog_G73
G74	ST10FR_Biog_G74
G79	ST09FR_Biog_G79
G80	ST09FR_Biog_G80
G82	ST09FR_Biog_G82
G83	ST10FR_Biog_G83
G84	ST06FR_Biog_G84
G85	ST07SP_Biog_G85
G86	ST81NE_Kema_G86
G87	ST10FR_Biog_G87
G88	ST10FR_Biog_G88
G89	ST10FR_Biog_G89
G90	ST10FR_Biog_G90
G91	ST10FR_Biog_G91
G92	ST10FR_Biog_G92
G94	ST10FR_Biog_G94
G95	ST10FR_Biog_G95
G96	ST10FR_Biog_G96
G97	ST10FR_Biog_G97
G99	ST10FR_Biog_G99
I03	ST09FR_Biog_I03
I04	ST09FR_Biog_I04
I05_GAGTGG	ST09FR_Biog_I05
I07_ACTGAT	ST09FR_Biog_I07
I12	ST09FR_Biog_I12
I24	ST09FR_Biog_I24
I25	ST09FR_Biog_I25
I28	ST09FR_Biog_I28
LG0595	ST13FR_Biog_LG0595
