ST16CH_3W9	D10_L1_R1_001_HW9eAyD6u48e.fastq.gz	D10_L1_R2_001_RghP9tuUSqWT.fastq.gz
ST16CH_1E52	D12_L1_R1_001_OynX41sEML7o.fastq.gz	D12_L1_R2_001_DA4So0RCf8KD.fastq.gz
ST16CH_1F4	D13_L1_R1_001_TqooIc5tuQPk.fastq.gz	D13_L1_R2_001_LE9kag7rRb72.fastq.gz
ST16CH_1H12	D14_L1_R1_001_Mo0Z31ZlzEKB.fastq.gz	D14_L1_R2_001_CqIWv268wkZk.fastq.gz
ST16CH_1H34	D15_L1_R1_001_3n9UX8xPckL7.fastq.gz	D15_L1_R2_001_7RpLcvMgLD03.fastq.gz
ST16CH_1V50	D19_L1_R1_001_4XJTqix6ZxVz.fastq.gz	D19_L1_R2_001_OHnavOTemfHT.fastq.gz
ST16CH_1K37	D20_L1_R1_001_LHtpNI2mHRJO.fastq.gz	D20_L1_R2_001_UrfdglbrBTHe.fastq.gz
ST16CH_1I19	D21_L1_R1_001_1gQhJwiuoi0O.fastq.gz	D21_L1_R2_001_a6CUCIsWEj3i.fastq.gz
ST16CH_1G47	D23_L1_R1_001_94EmyyN9qaFV.fastq.gz	D23_L1_R2_001_UOqNC5kqxXzR.fastq.gz
ST16CH_1G8	D24_L1_R1_001_1J25s5ATwynQ.fastq.gz	D24_L1_R2_001_Xe9PR3wSnRKZ.fastq.gz
ST16CH_3E34	D28_L1_R1_001_dt1tvMUyW2PY.fastq.gz	D28_L1_R2_001_2dv4FVjJ29Hd.fastq.gz
ST16CH_1W32	D29_L1_R1_001_Hj741g4yAy2t.fastq.gz	D29_L1_R2_001_9iIBNXSykbu9.fastq.gz
ST16CH_1D8	D2_L1_R1_001_iTV2ZLQMnMgS.fastq.gz	D2_L1_R2_001_gLUMIZOjYeTQ.fastq.gz
ST16CH_1E43	D30_L1_R1_001_zTFgV5xernv9.fastq.gz	D30_L1_R2_001_xOrCkEjeI7Bx.fastq.gz
ST16CH_1W18	D31_L1_R1_001_4cu0COAh9nEb.fastq.gz	D31_L1_R2_001_UtAxyHxnDuFC.fastq.gz
ST16CH_1V12	D32_L1_R1_001_QoW4DMM5w0da.fastq.gz	D32_L1_R2_001_qHmKACJ9htFf.fastq.gz
ST16CH_1E21	D3_L1_R1_001_4EJAhomH4ocl.fastq.gz	D3_L1_R2_001_Q6J5wybZzCGm.fastq.gz
ST16CH_1W9	D4_L1_R1_001_Ly3QPZGYrjKk.fastq.gz	D4_L1_R2_001_aeJLyiHJyowT.fastq.gz
ST16CH_1V4	D5_L1_R1_001_kuwYBDtMPCtq.fastq.gz	D5_L1_R2_001_tDSYVHLc7CVV.fastq.gz
