SCA3582A1	05STB001_1
SCA3582A2	05STCH003_1
SCA3582A3	05STD069_1
SCA3582A4	05STNL003_1
SCA3582A5	06STCZ016
SCA3582A6	06STGB018
SCA3582A7	07STF051
SCA3582A8	08STB011
SCA3582A9	05STB003_1
SCA3582A10	05STCH004_1
SCA3582A11	05STD087_1
SCA3582A12	05STNL015_1
SCA3582A13	06STCZ020
SCA3582A14	06STGB020
SCA3582A15	07STF058
SCA3582A16	08STCH005
SCA3582A17	05STB011_1
SCA3582A18	05STCH008_1
SCA3582A19	05STD093_1
SCA3582A20	05STNL024_1
SCA3582A21	06STCZ023
SCA3582A22	06STIR001
SCA3582A23	07STF094
SCA3582A24	07STF146
SCA3582A25	05STB012_1
SCA3582A26	05STD001_1
SCA3582A27	05STD094_1
SCA3582A28	05STPL002_1
SCA3582A29	06STCZ028
SCA3582A30	06STIR002
SCA3582A31	07STF104
SCA3582A32	08STCH007
SCA3582A33	05STB013_1
SCA3582A34	05STD006_1
SCA3582A35	05STD098_1
SCA3582A36	05STPL003_1
SCA3582A37	06STCZ036
SCA3582A38	06STIR003
SCA3582A39	07STF145
SCA3582A40	08STCH008
SCA3582A41	05STB015_1
SCA3582A42	05STD026_1
SCA3582A43	05STD104_1
SCA3582A44	05STPL005_1
SCA3582A45	06STCZ044
SCA3582A46	06STIR004
SCA3582A47	07STF148
SCA3582A48	08STCH015
SCA3582A49	05STB017_1
SCA3582A50	05STD031_1
SCA3582A51	05STD108_1
SCA3582A52	05STPL007_1
SCA3582A53	06STCZ045
SCA3582A54	06STIR005
SCA3582A55	07STF160
SCA3582A56	08STCZ003
SCA3582A57	05STB023_1
SCA3582A58	05STD040_1
SCA3582A59	05STD127_1
SCA3582A60	05STPL008_1
SCA3582A61	06STGB002
SCA3582A62	06STIR008
SCA3582A63	07STF162
SCA3582A64	08STCZ004
SCA3582A65	05STB026_1
SCA3582A66	05STD041_1
SCA3582A67	05STD133_1
SCA3582A68	06STCZ001
SCA3582A69	06STGB003
SCA3582A70	07STF011
SCA3582A71	07STF190
SCA3582A72	08STCZ010
SCA3582A73	05STB028_1
SCA3582A74	05STD042_1
SCA3582A75	05STD138_1
